Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
7061at7147	Complete	CM034722.1:25568994-25536951	25568994	25536951	-	1122.3	765	https://www.orthodb.org/v10?query=7061at7147	Uncharacterized protein, isoform A
7071at7147	Complete	CM034720.1:21807009-21812624	21807009	21812624	+	1673.3	1026	https://www.orthodb.org/v10?query=7071at7147	WD40/YVTN repeat-like-containing domain superfamily
7120at7147	Complete	CM034720.1:6155055-6149555	6155055	6149555	-	1648.4	914	https://www.orthodb.org/v10?query=7120at7147	Dosage compensation regulator
7133at7147	Complete	CM034722.1:22492837-22480606	22492837	22480606	-	911.5	548	https://www.orthodb.org/v10?query=7133at7147	MyTH4 domain
7158at7147	Complete	CM034718.1:21564234-21568520	21564234	21568520	+	1996.1	1059	https://www.orthodb.org/v10?query=7158at7147	Leucine-rich repeat
7164at7147	Complete	CM034720.1:10985151-10988756	10985151	10988756	+	1260.1	696	https://www.orthodb.org/v10?query=7164at7147	WD40-repeat-containing domain
7171at7147	Complete	CM034718.1:21823416-21819699	21823416	21819699	-	1297.9	756	https://www.orthodb.org/v10?query=7171at7147	Glycoside hydrolase family 31
7181at7147	Fragmented	CM034719.1:9545195-9546793	9545195	9546793	+	791.7	466	https://www.orthodb.org/v10?query=7181at7147	vacuolar protein sorting-associated protein 54
7208at7147	Complete	CM034718.1:7628129-7631533	7628129	7631533	+	1046.7	629	https://www.orthodb.org/v10?query=7208at7147	Protein HIRA
7218at7147	Complete	CM034720.1:8839758-8853417	8839758	8853417	+	1536.3	916	https://www.orthodb.org/v10?query=7218at7147	protein patched
7270at7147	Complete	CM034718.1:11879619-11876082	11879619	11876082	-	1643.6	833	https://www.orthodb.org/v10?query=7270at7147	Nonsense-mediated mRNA decay protein 1
7272at7147	Complete	CM034718.1:6149734-6154279	6149734	6154279	+	1240.7	724	https://www.orthodb.org/v10?query=7272at7147	Transmembrane protein 132
7282at7147	Complete	CM034722.1:31390952-31387532	31390952	31387532	-	794.0	745	https://www.orthodb.org/v10?query=7282at7147	Armadillo
7309at7147	Complete	CM034720.1:23536282-23530659	23536282	23530659	-	1208.2	917	https://www.orthodb.org/v10?query=7309at7147	protein virilizer
7311at7147	Complete	CM034721.1:14130649-14074155	14130649	14074155	-	264.7	272	https://www.orthodb.org/v10?query=7311at7147	whirlin isoform X1
7326at7147	Complete	CM034722.1:29165912-29156284	29165912	29156284	-	1386.5	831	https://www.orthodb.org/v10?query=7326at7147	Kinesin motor domain
7340at7147	Complete	CM034720.1:8112109-8116211	8112109	8116211	+	1787.2	876	https://www.orthodb.org/v10?query=7340at7147	Ribonuclease III
7341at7147	Complete	CM034722.1:16478469-16475964	16478469	16475964	-	789.3	557	https://www.orthodb.org/v10?query=7341at7147	Trafficking protein particle complex subunit 10
7349at7147	Complete	CM034721.1:4382762-4388029	4382762	4388029	+	661.8	554	https://www.orthodb.org/v10?query=7349at7147	mucin-5AC
7355at7147	Complete	CM034722.1:10016706-10025278	10016706	10025278	+	1691.0	842	https://www.orthodb.org/v10?query=7355at7147	Leucine-rich repeat, cysteine-containing subtype
7365at7147	Complete	CM034721.1:13578451-13583958	13578451	13583958	+	1194.2	1079	https://www.orthodb.org/v10?query=7365at7147	WD40/YVTN repeat-like-containing domain superfamily
7366at7147	Complete	CM034721.1:23758261-23739008	23758261	23739008	-	1602.3	794	https://www.orthodb.org/v10?query=7366at7147	catenin alpha
7384at7147	Complete	CM034721.1:21886516-21890597	21886516	21890597	+	963.3	950	https://www.orthodb.org/v10?query=7384at7147	Structural maintenance of chromosomes 5 smc5
7394at7147	Complete	CM034719.1:20877990-20880578	20877990	20880578	+	1201.2	722	https://www.orthodb.org/v10?query=7394at7147	Protein diaphanous
7403at7147	Complete	CM034719.1:10369159-10364256	10369159	10364256	-	1998.4	1095	https://www.orthodb.org/v10?query=7403at7147	Niemann-Pick C1 protein
7416at7147	Complete	CM034721.1:17969703-17973193	17969703	17973193	+	1010.5	594	https://www.orthodb.org/v10?query=7416at7147	Winged helix-like DNA-binding domain superfamily
7424at7147	Complete	CM034721.1:16330727-16334444	16330727	16334444	+	1477.8	738	https://www.orthodb.org/v10?query=7424at7147	Chloride channel protein
7426at7147	Complete	CM034720.1:19026469-19023064	19026469	19023064	-	1457.7	856	https://www.orthodb.org/v10?query=7426at7147	Methionyl-tRNA synthetase
7429at7147	Complete	CM034721.1:20276327-20279152	20276327	20279152	+	1527.6	759	https://www.orthodb.org/v10?query=7429at7147	26S proteasome non-ATPase regulatory subunit 2
7438at7147	Complete	CM034719.1:519131-515066	519131	515066	-	1318.8	672	https://www.orthodb.org/v10?query=7438at7147	AP-2 complex subunit alpha
7466at7147	Complete	CM034720.1:8317131-8311786	8317131	8311786	-	947.3	624	https://www.orthodb.org/v10?query=7466at7147	phosphatidate phosphatase LPIN2 isoform X1
7480at7147	Complete	CM034719.1:11135746-11140332	11135746	11140332	+	1326.2	910	https://www.orthodb.org/v10?query=7480at7147	nuclear pore complex protein Nup155
7526at7147	Duplicated	CM034719.1:6685483-6678701	6685483	6678701	-	1346.2	771	https://www.orthodb.org/v10?query=7526at7147	Dipeptidylpeptidase IV, N-terminal domain
7526at7147	Duplicated	CM034722.1:12192754-12186009	12192754	12186009	-	1370.4	747	https://www.orthodb.org/v10?query=7526at7147	Dipeptidylpeptidase IV, N-terminal domain
7535at7147	Complete	CM034719.1:21859059-21846263	21859059	21846263	-	914.5	752	https://www.orthodb.org/v10?query=7535at7147	Zinc finger C2H2 superfamily
7558at7147	Complete	CM034718.1:702270-705849	702270	705849	+	453.5	616	https://www.orthodb.org/v10?query=7558at7147	DNA polymerase v
7573at7147	Complete	CM034722.1:24053947-24071535	24053947	24071535	+	990.7	899	https://www.orthodb.org/v10?query=7573at7147	Pleckstrin homology domain
7575at7147	Complete	CM034721.1:7258708-7262061	7258708	7262061	+	907.8	629	https://www.orthodb.org/v10?query=7575at7147	protein melted isoform X1
7592at7147	Complete	CM034719.1:596287-644906	596287	644906	+	638.7	544	https://www.orthodb.org/v10?query=7592at7147	Zinc finger protein
7596at7147	Complete	CM034721.1:6634447-6630578	6634447	6630578	-	1524.4	979	https://www.orthodb.org/v10?query=7596at7147	WD40/YVTN repeat-like-containing domain superfamily
7616at7147	Complete	CM034720.1:17269262-17266606	17269262	17266606	-	834.6	643	https://www.orthodb.org/v10?query=7616at7147	general transcription factor 3C polypeptide 3
7628at7147	Complete	CM034719.1:7410746-7399838	7410746	7399838	-	1521.2	823	https://www.orthodb.org/v10?query=7628at7147	Anion exchange protein
7642at7147	Complete	CM034719.1:23140764-23156233	23140764	23156233	+	1076.9	674	https://www.orthodb.org/v10?query=7642at7147	Vacuolar protein sorting-associated protein 41 homolog
7661at7147	Complete	CM034718.1:18164973-18169317	18164973	18169317	+	1125.4	720	https://www.orthodb.org/v10?query=7661at7147	protein CASC1
7673at7147	Complete	CM034722.1:19596420-19599249	19596420	19599249	+	1194.2	759	https://www.orthodb.org/v10?query=7673at7147	WD40-repeat-containing domain
7707at7147	Complete	CM034719.1:18713587-18709277	18713587	18709277	-	1269.3	715	https://www.orthodb.org/v10?query=7707at7147	solute carrier family 12 member 9
7732at7147	Complete	CM034721.1:15161975-15199939	15161975	15199939	+	1419.8	710	https://www.orthodb.org/v10?query=7732at7147	WD40 repeat
7736at7147	Complete	CM034720.1:9430433-9412136	9430433	9412136	-	1029.3	580	https://www.orthodb.org/v10?query=7736at7147	Immunoglobulin-like domain
7747at7147	Complete	CM034720.1:22258612-22262332	22258612	22262332	+	1475.5	760	https://www.orthodb.org/v10?query=7747at7147	synaptojanin-1
7754at7147	Complete	CM034718.1:4090594-4070637	4090594	4070637	-	1018.9	570	https://www.orthodb.org/v10?query=7754at7147	Immunoglobulin-like domain
7772at7147	Complete	CM034720.1:12050645-12053476	12050645	12053476	+	899.5	547	https://www.orthodb.org/v10?query=7772at7147	Major facilitator superfamily
7775at7147	Complete	CM034721.1:1879240-1875417	1879240	1875417	-	1646.9	872	https://www.orthodb.org/v10?query=7775at7147	FACT complex subunit spt16
7792at7147	Complete	CM034722.1:10539466-10544658	10539466	10544658	+	1305.3	734	https://www.orthodb.org/v10?query=7792at7147	F-BAR domain
7827at7147	Complete	CM034718.1:2249373-2243961	2249373	2243961	-	1532.4	822	https://www.orthodb.org/v10?query=7827at7147	vinculin
7863at7147	Complete	CM034721.1:9234867-9240477	9234867	9240477	+	1040.7	566	https://www.orthodb.org/v10?query=7863at7147	SH3 domain
7870at7147	Complete	CM034720.1:11524322-11518229	11524322	11518229	-	1727.2	900	https://www.orthodb.org/v10?query=7870at7147	Zona pellucida domain
7887at7147	Complete	CM034718.1:16051540-16033245	16051540	16033245	-	605.4	356	https://www.orthodb.org/v10?query=7887at7147	MIND-MELD/ADAM
7900at7147	Missing
7917at7147	Complete	CM034720.1:11792699-11780416	11792699	11780416	-	1997.1	1367	https://www.orthodb.org/v10?query=7917at7147	Zinc finger, PHD-type
7954at7147	Complete	CM034719.1:10892517-10889526	10892517	10889526	-	827.8	624	https://www.orthodb.org/v10?query=7954at7147	Protein SMG8
7955at7147	Complete	CM034722.1:22531417-22534846	22531417	22534846	+	914.5	701	https://www.orthodb.org/v10?query=7955at7147	Ubiquitin carboxyl-terminal hydrolase 8
7966at7147	Complete	CM034722.1:16447174-16451253	16447174	16451253	+	1309.5	642	https://www.orthodb.org/v10?query=7966at7147	soluble guanylate cyclase 88E
8001at7147	Complete	CM034718.1:5614924-5611438	5614924	5611438	-	898.4	732	https://www.orthodb.org/v10?query=8001at7147	GPI inositol-deacylase
8031at7147	Complete	CM034718.1:1969140-1972183	1969140	1972183	+	882.3	612	https://www.orthodb.org/v10?query=8031at7147	type II inositol 1,4,5-trisphosphate 5-phosphatase
8033at7147	Complete	CM034719.1:14096611-14086544	14096611	14086544	-	1100.3	875	https://www.orthodb.org/v10?query=8033at7147	Leucine-rich repeat
8037at7147	Complete	CM034722.1:5021279-5024515	5021279	5024515	+	1117.8	848	https://www.orthodb.org/v10?query=8037at7147	dynein heavy chain 1, axonemal
8060at7147	Complete	CM034718.1:10853903-10846290	10853903	10846290	-	763.4	590	https://www.orthodb.org/v10?query=8060at7147	Two pore domain potassium channel
8070at7147	Complete	CM034722.1:33218070-33224995	33218070	33224995	+	2017.0	1580	https://www.orthodb.org/v10?query=8070at7147	Rough deal
8084at7147	Complete	CM034722.1:9264371-9267079	9264371	9267079	+	1480.2	746	https://www.orthodb.org/v10?query=8084at7147	DNA helicase
8099at7147	Complete	CM034719.1:110194-104278	110194	104278	-	1454.5	909	https://www.orthodb.org/v10?query=8099at7147	Protein lethal(2) giant larvae
8101at7147	Complete	CM034722.1:29538264-29533701	29538264	29533701	-	681.1	593	https://www.orthodb.org/v10?query=8101at7147	Histone-lysine N-methyltransferase
8106at7147	Complete	CM034718.1:13771942-13764649	13771942	13764649	-	945.4	608	https://www.orthodb.org/v10?query=8106at7147	Gamma-tubulin complex component
8135at7147	Complete	CM034722.1:13096030-13099590	13096030	13099590	+	1131.3	1082	https://www.orthodb.org/v10?query=8135at7147	GRIP and coiled-coil domain-containing protein 2
8171at7147	Complete	CM034720.1:21313600-21304474	21313600	21304474	-	838.7	487	https://www.orthodb.org/v10?query=8171at7147	WW domain
8176at7147	Complete	CM034718.1:10866975-10862799	10866975	10862799	-	1822.2	1057	https://www.orthodb.org/v10?query=8176at7147	Zinc finger, CCCH-type
8216at7147	Complete	CM034720.1:9111775-9116221	9111775	9116221	+	1504.0	875	https://www.orthodb.org/v10?query=8216at7147	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
8225at7147	Complete	CM034719.1:4515319-4518021	4515319	4518021	+	1162.6	632	https://www.orthodb.org/v10?query=8225at7147	polyphosphoinositide phosphatase
8234at7147	Complete	CM034722.1:24155998-24153272	24155998	24153272	-	948.6	705	https://www.orthodb.org/v10?query=8234at7147	wolframin
8245at7147	Complete	CM034721.1:8041668-8032920	8041668	8032920	-	1454.8	822	https://www.orthodb.org/v10?query=8245at7147	JNK-interacting protein 3 isoform X1
8259at7147	Complete	CM034722.1:26082554-26087564	26082554	26087564	+	1049.1	580	https://www.orthodb.org/v10?query=8259at7147	C2 domain
8286at7147	Complete	CM034720.1:5924901-5936210	5924901	5936210	+	1867.7	1389	https://www.orthodb.org/v10?query=8286at7147	nuclear pore membrane glycoprotein 210
8350at7147	Complete	CM034722.1:25335455-25329782	25335455	25329782	-	1006.4	869	https://www.orthodb.org/v10?query=8350at7147	Peptidase S59, nucleoporin
8365at7147	Complete	CM034720.1:20782830-20775550	20782830	20775550	-	824.0	541	https://www.orthodb.org/v10?query=8365at7147	hillarin
8373at7147	Complete	CM034721.1:16212857-16209422	16212857	16209422	-	1839.0	895	https://www.orthodb.org/v10?query=8373at7147	BRK domain
8389at7147	Complete	CM034722.1:6099901-6097004	6099901	6097004	-	911.6	611	https://www.orthodb.org/v10?query=8389at7147	kinase suppressor of Ras 2
8399at7147	Complete	CM034720.1:14479339-14483038	14479339	14483038	+	1289.1	917	https://www.orthodb.org/v10?query=8399at7147	Leucine-rich repeat
8406at7147	Complete	CM034718.1:15842559-15836764	15842559	15836764	-	993.6	581	https://www.orthodb.org/v10?query=8406at7147	rho GTPase-activating protein 26 isoform X1
8407at7147	Complete	CM034719.1:7960766-7956562	7960766	7956562	-	1588.7	786	https://www.orthodb.org/v10?query=8407at7147	Alpha-aminoadipic semialdehyde synthase, mitochondrial
8414at7147	Complete	CM034718.1:1941832-1936899	1941832	1936899	-	1186.1	560	https://www.orthodb.org/v10?query=8414at7147	Armadillo segment polarity protein
8417at7147	Complete	CM034720.1:13813172-13815832	13813172	13815832	+	1401.2	734	https://www.orthodb.org/v10?query=8417at7147	pre-mRNA-splicing factor SYF1
8418at7147	Complete	CM034718.1:15977891-15987203	15977891	15987203	+	1177.4	688	https://www.orthodb.org/v10?query=8418at7147	Dynamin
8453at7147	Complete	CM034722.1:5330266-5326856	5330266	5326856	-	946.9	870	https://www.orthodb.org/v10?query=8453at7147	coiled-coil domain-containing protein 39
8454at7147	Complete	CM034719.1:12273031-12288187	12273031	12288187	+	1180.9	609	https://www.orthodb.org/v10?query=8454at7147	probable G-protein coupled receptor CG31760
8472at7147	Complete	CM034721.1:8221798-8226366	8221798	8226366	+	1694.3	905	https://www.orthodb.org/v10?query=8472at7147	importin-7
8482at7147	Complete	CM034719.1:15138050-15144773	15138050	15144773	+	1135.5	606	https://www.orthodb.org/v10?query=8482at7147	GPCR family 3, GABA-B receptor
8492at7147	Complete	CM034719.1:2219141-2224938	2219141	2224938	+	1577.9	752	https://www.orthodb.org/v10?query=8492at7147	glycogen phosphorylase
8505at7147	Complete	CM034718.1:8042925-8039067	8042925	8039067	-	1456.0	851	https://www.orthodb.org/v10?query=8505at7147	MIF4G-like domain superfamily
8518at7147	Complete	CM034721.1:21934477-21931299	21934477	21931299	-	1058.6	595	https://www.orthodb.org/v10?query=8518at7147	Membrane-bound transcription factor site-1 protease
8522at7147	Complete	CM034718.1:990908-987678	990908	987678	-	1290.8	651	https://www.orthodb.org/v10?query=8522at7147	leucine-zipper-like transcriptional regulator 1
8534at7147	Complete	CM034718.1:16088816-16085335	16088816	16085335	-	1454.8	700	https://www.orthodb.org/v10?query=8534at7147	Ras GTPase-activating domain
8543at7147	Complete	CM034721.1:12143814-12182079	12143814	12182079	+	1080.8	659	https://www.orthodb.org/v10?query=8543at7147	Anoctamin
8545at7147	Complete	CM034718.1:11824954-11833269	11824954	11833269	+	1732.9	1015	https://www.orthodb.org/v10?query=8545at7147	P-type ATPase
8604at7147	Complete	CM034720.1:14200731-14198047	14200731	14198047	-	1152.9	776	https://www.orthodb.org/v10?query=8604at7147	WD40-repeat-containing domain
8618at7147	Complete	CM034722.1:22107267-22103765	22107267	22103765	-	1431.0	699	https://www.orthodb.org/v10?query=8618at7147	Putative G-protein coupled receptor 158
8630at7147	Complete	CM034721.1:12740749-12738022	12740749	12738022	-	1277.1	681	https://www.orthodb.org/v10?query=8630at7147	Transferrin
8652at7147	Complete	CM034721.1:5808887-5813483	5808887	5813483	+	1171.9	680	https://www.orthodb.org/v10?query=8652at7147	Zinc finger C2H2 superfamily
8662at7147	Complete	CM034718.1:7515616-7580834	7515616	7580834	+	1055.9	719	https://www.orthodb.org/v10?query=8662at7147	Homeobox protein cut-like
8675at7147	Complete	CM034722.1:24156403-24160426	24156403	24160426	+	1263.4	903	https://www.orthodb.org/v10?query=8675at7147	nuclear pore complex protein Nup133
8698at7147	Complete	CM034722.1:17737246-17732832	17737246	17732832	-	1413.7	783	https://www.orthodb.org/v10?query=8698at7147	protein CLEC16A isoform X1
8713at7147	Complete	CM034720.1:19310930-19314369	19310930	19314369	+	1621.1	798	https://www.orthodb.org/v10?query=8713at7147	exostosin-3
8719at7147	Complete	CM034722.1:25729469-25725457	25729469	25725457	-	848.6	982	https://www.orthodb.org/v10?query=8719at7147	Structural maintenance of chromosomes protein 6
8729at7147	Complete	CM034721.1:17767770-17764782	17767770	17764782	-	1289.7	771	https://www.orthodb.org/v10?query=8729at7147	Exocyst complex component 1
8776at7147	Complete	CM034720.1:10659908-10656458	10659908	10656458	-	1175.4	602	https://www.orthodb.org/v10?query=8776at7147	carnitine O-palmitoyltransferase 1, liver isoform isoform X1
8777at7147	Complete	CM034722.1:6269969-6273054	6269969	6273054	+	1394.7	676	https://www.orthodb.org/v10?query=8777at7147	Protein transport protein SEC23
8820at7147	Complete	CM034721.1:683661-686916	683661	686916	+	906.3	609	https://www.orthodb.org/v10?query=8820at7147	DNA repair protein REV1
8830at7147	Complete	CM034722.1:10749614-10745637	10749614	10745637	-	554.7	354	https://www.orthodb.org/v10?query=8830at7147	Immunoglobulin-like domain
8858at7147	Complete	CM034719.1:17605668-17602730	17605668	17602730	-	903.2	642	https://www.orthodb.org/v10?query=8858at7147	Villin headpiece
8902at7147	Complete	CM034721.1:3204665-3209980	3204665	3209980	+	1369.2	949	https://www.orthodb.org/v10?query=8902at7147	girdin isoform X1
8929at7147	Complete	CM034719.1:21413015-21390544	21413015	21390544	-	491.7	426	https://www.orthodb.org/v10?query=8929at7147	Basic helix-loop-helix zip transcription factor
8935at7147	Complete	CM034719.1:6110666-6106449	6110666	6106449	-	880.1	571	https://www.orthodb.org/v10?query=8935at7147	Ras guanine nucleotide exchange factor domain superfamily
8968at7147	Complete	CM034722.1:20403136-20361974	20403136	20361974	-	650.8	475	https://www.orthodb.org/v10?query=8968at7147	Protein kinase domain
8971at7147	Complete	CM034718.1:18532558-18529182	18532558	18529182	-	1654.1	824	https://www.orthodb.org/v10?query=8971at7147	Coatomer subunit beta
8997at7147	Complete	CM034718.1:17292377-17299835	17292377	17299835	+	1576.6	1103	https://www.orthodb.org/v10?query=8997at7147	partitioning defective 3 homolog isoform X1
9003at7147	Complete	CM034720.1:14721211-14782648	14721211	14782648	+	1293.3	669	https://www.orthodb.org/v10?query=9003at7147	exostosin-1
9008at7147	Complete	CM034722.1:10710287-10705879	10710287	10705879	-	999.7	605	https://www.orthodb.org/v10?query=9008at7147	Villin headpiece
9017at7147	Complete	CM034720.1:10257841-10253470	10257841	10253470	-	1405.2	940	https://www.orthodb.org/v10?query=9017at7147	nodal modulator 3
9059at7147	Complete	CM034719.1:12189503-12184939	12189503	12184939	-	1225.9	958	https://www.orthodb.org/v10?query=9059at7147	Rab3 GTPase-activating protein regulatory subunit
9064at7147	Complete	CM034722.1:17245758-17241477	17245758	17241477	-	1149.0	603	https://www.orthodb.org/v10?query=9064at7147	SWI/SNF complex subunit SMARCC1 isoform X1
9067at7147	Complete	CM034722.1:20987738-20984013	20987738	20984013	-	1053.9	641	https://www.orthodb.org/v10?query=9067at7147	Uncharacterized protein, isoform A
9084at7147	Complete	CM034722.1:33209395-33212278	33209395	33212278	+	1475.8	761	https://www.orthodb.org/v10?query=9084at7147	Coatomer subunit gamma
9107at7147	Complete	CM034722.1:18736370-18746609	18736370	18746609	+	962.2	464	https://www.orthodb.org/v10?query=9107at7147	peroxidase
9117at7147	Complete	CM034722.1:10225150-10228113	10225150	10228113	+	1130.9	702	https://www.orthodb.org/v10?query=9117at7147	Vps16, C-terminal
9118at7147	Complete	CM034721.1:14314162-14330193	14314162	14330193	+	1405.0	822	https://www.orthodb.org/v10?query=9118at7147	Formin, FH3 domain
9148at7147	Complete	CM034718.1:17051098-17057671	17051098	17057671	+	1188.6	822	https://www.orthodb.org/v10?query=9148at7147	Rho GTPase activation protein
9161at7147	Complete	CM034720.1:8296662-8289536	8296662	8289536	-	1533.2	860	https://www.orthodb.org/v10?query=9161at7147	Ankyrin repeat-containing domain
9166at7147	Complete	CM034718.1:13763584-13755590	13763584	13755590	-	1083.7	663	https://www.orthodb.org/v10?query=9166at7147	AP-3 complex subunit delta
9178at7147	Complete	CM034720.1:7472622-7487228	7472622	7487228	+	1001.8	647	https://www.orthodb.org/v10?query=9178at7147	EGF-like calcium-binding, conserved site
9202at7147	Complete	CM034718.1:14935526-14938054	14935526	14938054	+	853.0	559	https://www.orthodb.org/v10?query=9202at7147	myotubularin-related protein 10-B
9219at7147	Complete	CM034722.1:31763636-31760166	31763636	31760166	-	1593.9	892	https://www.orthodb.org/v10?query=9219at7147	Superoxide dismutase, copper/zinc binding domain
9260at7147	Complete	CM034719.1:4430576-4427738	4430576	4427738	-	1309.4	714	https://www.orthodb.org/v10?query=9260at7147	Vps53 protein
9277at7147	Complete	CM034720.1:16469883-16466837	16469883	16466837	-	1478.8	777	https://www.orthodb.org/v10?query=9277at7147	Kinesin-like protein
9295at7147	Complete	CM034721.1:12731170-12728616	12731170	12728616	-	1259.6	646	https://www.orthodb.org/v10?query=9295at7147	Histone acetyltransferase
9303at7147	Complete	CM034721.1:4369752-4366700	4369752	4366700	-	803.8	676	https://www.orthodb.org/v10?query=9303at7147	Zinc finger, NF-X1-type
9326at7147	Complete	CM034721.1:21824048-21816765	21824048	21816765	-	1356.7	859	https://www.orthodb.org/v10?query=9326at7147	Cysteine-rich Golgi apparatus protein 1 repeat
9336at7147	Complete	CM034719.1:5318329-5313708	5318329	5313708	-	768.5	659	https://www.orthodb.org/v10?query=9336at7147	Blastoderm-specific protein 25D
9337at7147	Complete	CM034718.1:17345240-17342150	17345240	17342150	-	816.5	632	https://www.orthodb.org/v10?query=9337at7147	Ankyrin repeat-containing domain
9357at7147	Complete	CM034720.1:24358611-24362384	24358611	24362384	+	1431.7	875	https://www.orthodb.org/v10?query=9357at7147	HECT domain
9363at7147	Complete	CM034722.1:10584362-10587115	10584362	10587115	+	1127.3	649	https://www.orthodb.org/v10?query=9363at7147	IQ and AAA domain-containing protein 1
9373at7147	Complete	CM034722.1:6424527-6402814	6424527	6402814	-	1394.2	804	https://www.orthodb.org/v10?query=9373at7147	Exocyst complex component 4
9424at7147	Complete	CM034719.1:10884589-10881991	10884589	10881991	-	917.8	632	https://www.orthodb.org/v10?query=9424at7147	nuclear pore complex protein Nup107
9447at7147	Complete	CM034720.1:17951467-17948684	17951467	17948684	-	1309.8	741	https://www.orthodb.org/v10?query=9447at7147	sarcosine dehydrogenase, mitochondrial
9534at7147	Complete	CM034720.1:18941883-18947171	18941883	18947171	+	1212.8	710	https://www.orthodb.org/v10?query=9534at7147	C2 domain
9566at7147	Complete	CM034718.1:14233406-14239610	14233406	14239610	+	1743.7	1391	https://www.orthodb.org/v10?query=9566at7147	EGF-like calcium-binding, conserved site
9569at7147	Complete	CM034720.1:21343270-21346225	21343270	21346225	+	1387.7	700	https://www.orthodb.org/v10?query=9569at7147	ATP-dependent helicase, C-terminal
9581at7147	Complete	CM034718.1:19714760-19709042	19714760	19709042	-	1423.0	755	https://www.orthodb.org/v10?query=9581at7147	serine/threonine-protein kinase TAO3 isoform X1
9594at7147	Complete	CM034722.1:22504549-22502124	22504549	22502124	-	1224.6	659	https://www.orthodb.org/v10?query=9594at7147	Exocyst complex component
9608at7147	Complete	CM034721.1:9071953-9069003	9071953	9069003	-	1163.9	740	https://www.orthodb.org/v10?query=9608at7147	Aminoacyl-tRNA synthetase, class Ia
9655at7147	Complete	CM034721.1:19645410-19649896	19645410	19649896	+	1234.2	687	https://www.orthodb.org/v10?query=9655at7147	Protein of unknown function DUF4495
9671at7147	Complete	CM034722.1:21253148-21250758	21253148	21250758	-	542.7	592	https://www.orthodb.org/v10?query=9671at7147	Miranda
9673at7147	Complete	CM034719.1:14018620-14058644	14018620	14058644	+	1250.4	629	https://www.orthodb.org/v10?query=9673at7147	Angiotensin-converting enzyme
9679at7147	Complete	CM034718.1:5244305-5241107	5244305	5241107	-	407.0	453	https://www.orthodb.org/v10?query=9679at7147	RNA-binding domain superfamily
9705at7147	Complete	CM034719.1:21029741-21026881	21029741	21026881	-	923.7	698	https://www.orthodb.org/v10?query=9705at7147	microsomal triglyceride transfer protein large subunit
9709at7147	Complete	CM034720.1:21736738-21740938	21736738	21740938	+	1868.0	1099	https://www.orthodb.org/v10?query=9709at7147	Receptor L-domain
9717at7147	Complete	CM034720.1:7011266-7016388	7011266	7016388	+	528.5	441	https://www.orthodb.org/v10?query=9717at7147	Uncharacterized protein, isoform B
9747at7147	Complete	CM034718.1:5547121-5549758	5547121	5549758	+	690.0	542	https://www.orthodb.org/v10?query=9747at7147	ribonucleases P/MRP protein subunit POP1
9762at7147	Complete	CM034721.1:16361427-16365230	16361427	16365230	+	1457.7	966	https://www.orthodb.org/v10?query=9762at7147	WASH complex subunit strumpellin homolog
9777at7147	Complete	CM034720.1:6830149-6835744	6830149	6835744	+	1124.1	928	https://www.orthodb.org/v10?query=9777at7147	ARID DNA-binding domain
9779at7147	Complete	CM034721.1:1505319-1502195	1505319	1502195	-	1162.3	631	https://www.orthodb.org/v10?query=9779at7147	protein zer-1 homolog isoform X1
9792at7147	Complete	CM034718.1:2302926-2300410	2302926	2300410	-	1094.9	637	https://www.orthodb.org/v10?query=9792at7147	hypoxia up-regulated protein 1
9809at7147	Complete	CM034720.1:7692624-7689793	7692624	7689793	-	1447.5	730	https://www.orthodb.org/v10?query=9809at7147	DNA helicase
9828at7147	Complete	CM034722.1:26354293-26351462	26354293	26351462	-	934.2	560	https://www.orthodb.org/v10?query=9828at7147	serine/threonine-protein kinase Nek8
9834at7147	Complete	CM034722.1:11085330-11083049	11085330	11083049	-	578.6	482	https://www.orthodb.org/v10?query=9834at7147	TATA box-binding protein-associated factor RNA polymerase I subunit B
9837at7147	Complete	CM034719.1:3515684-3518544	3515684	3518544	+	1364.5	756	https://www.orthodb.org/v10?query=9837at7147	Exocyst complex component 2
9844at7147	Complete	CM034722.1:4787978-4793693	4787978	4793693	+	1229.8	762	https://www.orthodb.org/v10?query=9844at7147	cyclin-G-associated kinase
9848at7147	Complete	CM034721.1:3351673-3349001	3351673	3349001	-	1224.4	661	https://www.orthodb.org/v10?query=9848at7147	striatin-interacting protein 1 homolog
9853at7147	Complete	CM034721.1:1751802-1754607	1751802	1754607	+	471.8	413	https://www.orthodb.org/v10?query=9853at7147	Uncharacterized protein, isoform A
9872at7147	Complete	CM034720.1:22422405-22463043	22422405	22463043	+	746.6	457	https://www.orthodb.org/v10?query=9872at7147	Homeobox domain
9926at7147	Complete	CM034718.1:15434764-15438954	15434764	15438954	+	1467.7	747	https://www.orthodb.org/v10?query=9926at7147	probable ATP-dependent RNA helicase DDX46
9929at7147	Complete	CM034721.1:14174550-14167884	14174550	14167884	-	993.2	575	https://www.orthodb.org/v10?query=9929at7147	Ras guanine-nucleotide exchange factor catalytic domain superfamily
9963at7147	Complete	CM034719.1:3515313-3512288	3515313	3512288	-	1197.5	694	https://www.orthodb.org/v10?query=9963at7147	conserved oligomeric Golgi complex subunit 3
